id,student_id,first_name,last_name,password_hash,created_at
1,STU001,John,Doe,pass123,2025-08-01 10:00:00
2,STU002,Jane,Smith,pass123,2025-08-01 10:05:00
3,STU003,Kwame,Yeboah,pass123,2025-08-01 10:10:00
4,STU004,Ama,Baidoo,pass123,2025-08-01 10:15:00
5,STU005,Kofi,Mensah,pass123,2025-08-01 10:20:00
6,STU006,Akosua,Owusu,pass123,2025-08-01 10:25:00
7,STU007,Kojo,Boateng,pass123,2025-08-01 10:30:00
8,STU008,Afia,Appiah,pass123,2025-08-01 10:35:00
9,STU009,Yaw,Asante,pass123,2025-08-01 10:40:00
10,STU010,Abena,Darko,pass123,2025-08-01 10:45:00
